Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
Guernsey,GGY,831,2025,2.64,2.89,3.37,3.38,3.49,3.82,4.08,4.23,4.11,3.92,4.49,4.97,4.79,3.99,3.25,3.14,1.84,1.27,0.59,0.18,0.04,64.48,27.9,43.27,12.28,19.04,2.64,4.09,14.3,22.18
Faroe Islands,FRO,234,2025,3.58,3.84,3.7,3.82,3.96,3.28,3.46,3.72,3.29,3.33,3.38,3.47,3.21,2.9,2.48,2.06,1.43,0.67,0.31,0.09,0.01,56.0,29.37,52.44,14.95,26.69,3.58,6.4,9.96,17.78
Greenland,GRL,304,2025,3.85,4.01,3.7,3.5,3.31,3.94,4.59,4.36,3.75,2.99,2.77,4.29,4.26,3.02,1.73,0.91,0.55,0.17,0.05,0.01,0,55.74,31.26,56.08,15.06,27.02,3.85,6.9,6.43,11.53
Saint Kitts and Nevis,KNA,659,2025,2.75,2.95,2.9,2.96,3.1,3.56,3.58,3.93,3.67,3.28,3.1,2.88,2.77,2.46,1.52,0.74,0.43,0.22,0.1,0.03,0.0,46.92,25.72,54.81,11.56,24.64,2.75,5.87,5.5,11.72
Turks and Caicos Islands,TCA,796,2025,2.53,2.62,2.34,2.61,2.68,3.2,3.4,3.91,4.2,4.14,3.81,3.23,2.71,2.01,1.46,0.92,0.58,0.32,0.14,0.04,0.0,46.85,23.28,49.68,10.1,21.55,2.53,5.41,5.47,11.68
American Samoa,ASM,16,2025,3.39,4.18,4.55,4.66,3.92,2.33,2.67,2.72,2.69,2.95,2.89,2.81,2.32,1.68,1.09,0.66,0.31,0.14,0.04,0.01,0,46.03,28.43,61.76,16.78,36.47,3.39,7.37,3.93,8.54
Sint Maarten (Dutch part),SXM,534,2025,1.93,1.98,2.59,2.83,2.5,2.4,2.75,3.12,3.24,3.34,3.59,3.83,3.45,2.52,1.9,1.17,0.53,0.18,0.05,0.01,0,43.92,20.11,45.78,9.33,21.25,1.93,4.4,6.36,14.48
Northern Mariana Islands,MNP,580,2025,2.75,2.97,3.53,3.87,2.93,1.78,2.12,2.32,2.61,3.15,3.68,3.92,3.22,2.36,1.31,0.63,0.23,0.11,0.04,0.01,0,43.54,22.26,51.13,13.11,30.11,2.75,6.31,4.7,10.79
Gibraltar,GIB,292,2025,2.43,2.24,2.39,2.43,2.59,2.67,2.78,2.64,2.72,2.68,2.54,2.49,2.37,2.03,1.72,1.59,0.86,0.58,0.27,0.09,0.02,40.13,20.16,50.25,9.48,23.64,2.43,6.04,7.16,17.84
Liechtenstein,LIE,438,2025,1.88,1.93,1.9,2.0,2.17,2.34,2.44,2.55,2.58,2.6,2.89,3.18,3.11,2.62,2.08,1.73,1.22,0.61,0.26,0.07,0.01,40.13,17.2,42.86,7.7,19.2,1.88,4.69,8.58,21.38
British Virgin Islands,VGB,92,2025,1.65,1.84,2.1,2.68,2.5,2.75,3.1,3.56,3.97,3.66,3.09,2.63,2.18,1.65,1.11,0.7,0.35,0.14,0.05,0.01,0,39.73,20.19,50.82,8.28,20.84,1.65,4.16,4.02,10.11
Monaco,MCO,492,2025,1.82,1.85,1.61,1.58,1.78,1.9,1.77,1.77,1.72,1.65,1.88,2.45,2.76,2.79,2.4,2.38,2.17,1.79,1.24,0.68,0.34,38.34,14.08,36.71,6.86,17.89,1.82,4.76,13.81,36.01
Marshall Islands,MHL,584,2025,3.7,4.15,4.44,4.68,3.3,1.81,1.36,2.09,2.36,2.12,1.82,1.51,1.16,0.82,0.55,0.27,0.09,0.03,0.01,0.0,0,36.28,25.54,70.38,16.98,46.8,3.7,10.2,1.77,4.88
